ClientID,StandardizedID,City/Municipality,Demand,LocationID,Latitude,Longitude
1,C001,Bogotá,30.0,2,4.7111,-74.0722
2,C002,Medellín,25.0,3,6.2308,-75.5906
3,C003,Cali,22.0,4,3.4206,-76.5222
4,C004,Cartagena,18.0,5,10.4000,-75.5000
5,C005,Cúcuta,15.0,6,7.8942,-72.5039
6,C006,Bucaramanga,17.0,7,7.1333,-73.0000
7,C007,Pereira,12.0,8,4.8143,-75.6946
8,C008,Santa Marta,10.0,9,11.2419,-74.2053
9,C009,Ibagué,11.0,10,4.4333,-75.2333
10,C010,Manizales,9.0,11,5.1000,-75.5500
11,C011,Neiva,10.0,12,2.9345,-75.2809
12,C012,Barranquilla,7.0,13,10.9833,-74.8019
13,C013,Villavicencio,8.0,14,4.1500,-73.6333
14,C014,Armenia,10.0,15,4.5300,-75.6800
