ClientID,StandardizedID,City/Municipality,Demand,LocationID,MaxWeight,Latitude,Longitude
1,C001,Bogotá,16.0,2,99999999,4.7111,-74.0722
2,C002,Medellín,18.0,3,99999999,6.2308,-75.5906
3,C003,Cali,16.0,4,35.0,3.4206,-76.5222
4,C004,Cartagena,18.0,5,99999999,10.4000,-75.5000
5,C005,Cúcuta,15.0,6,35.0,7.8942,-72.5039
6,C006,Bucaramanga,17.6,7,99999999,7.1333,-73.0000
7,C007,Pereira,17.6,8,25.0,4.8143,-75.6946
8,C008,Santa Marta,10.0,9,50.0,11.2419,-74.2053
9,C009,Ibagué,11.0,10,40.0,4.4333,-75.2333
10,C010,Manizales,9.0,11,38.0,5.1000,-75.5500
11,C011,Neiva,5.0,12,10.0,2.9345,-75.2809
12,C012,Barranquilla,7.0,13,50.0,10.9833,-74.8019
13,C013,Villavicencio,5.0,14,10.0,4.1500,-73.6333
14,C014,Armenia,10.0,15,99999999,4.5300,-75.6800
